x [cm],Log10 (divB * h / B)
0.00496894409937893,-2.83870967741936
0.00745341614906836,-3.01612903225806
0.0111801242236025,-2.32258064516129
0.0149068322981367,-2.96774193548387
0.0149068322981367,-3.14516129032258
0.0173913043478261,-3.08064516129032
0.0211180124223603,-3.90322580645161
0.0248447204968945,-3.01612903225806
0.0260869565217391,-2.79032258064516
0.031055900621118,-3.14516129032258
0.0322981366459628,-3.09677419354839
0.0372670807453417,-3.33870967741936
0.0409937888198758,-3.38709677419355
0.0472049689440994,-2.70967741935484
0.0509316770186336,-3.74193548387097
0.0521739130434783,-3.82258064516129
0.053416149068323,-3.62903225806452
0.0546583850931677,-3.29032258064516
0.0559006211180125,-2.70967741935484
0.0571428571428572,-2.16129032258065
0.0608695652173913,-3.12903225806452
0.0645962732919255,-2.17741935483871
0.0658385093167702,-2.06451612903226
0.0683229813664597,-1.83870967741936
0.0732919254658386,-1.69354838709677
0.0770186335403727,-1.75806451612903
0.0807453416149069,-2.80645161290323
0.0844720496894411,-1.75806451612903
0.0869565217391305,-1.54838709677419
0.0919254658385094,-2.01612903225807
0.0944099378881988,-3.09677419354839
0.098136645962733,-2.25806451612903
0.100621118012422,-2.17741935483871
0.105590062111801,-2.62903225806452
0.11055900621118,-2.87096774193548
0.114285714285714,-2.58064516129032
0.118012422360248,-2.79032258064516
0.124223602484472,-2.93548387096774
0.130434782608696,-3.67741935483871
0.136645962732919,-2.85483870967742
0.139130434782609,-2.70967741935484
0.144099378881988,-2.91935483870968
0.146583850931677,-3.32258064516129
0.151552795031056,-5.17741935483871
0.156521739130435,-3.09677419354839
0.159006211180124,-2.7741935483871
0.166459627329193,-5.06451612903226
0.172670807453416,-4.03225806451613
0.17639751552795,-4.61290322580645
0.181366459627329,-3.38709677419355
0.181366459627329,-3.09677419354839
0.183850931677019,-2.80645161290323
0.193788819875776,-4.14516129032258
0.2,-3.24193548387097
0.20248447204969,-3.19354838709678
0.211180124223603,-4.82258064516129
0.216149068322981,-3.5
0.219875776397516,-4.17741935483871
0.22360248447205,-3.25806451612903
0.231055900621118,-4.85483870967742
0.234782608695652,-3.96774193548387
0.236024844720497,-3.87096774193548
0.240993788819876,-3
0.24472049689441,-2.79032258064516
0.253416149068323,-3.14516129032258
0.255900621118012,-3.25806451612903
0.259627329192547,-2.74193548387097
0.262111801242236,-3.24193548387097
0.267080745341615,-1.85483870967742
0.270807453416149,-2.08064516129032
0.275776397515528,-1.75806451612903
0.280745341614907,-1.45161290322581
0.284472049689441,-1.85483870967742
0.28695652173913,-1.66129032258065
0.291925465838509,-2.03225806451613
0.299378881987578,-1.7258064516129
0.305590062111801,-2.40322580645161
0.311801242236025,-2.30645161290323
0.318012422360249,-3.14516129032258
0.324223602484472,-4.59677419354839
0.33416149068323,-3.53225806451613
0.339130434782609,-3.95161290322581
0.342857142857143,-3.54838709677419
0.346583850931677,-3.93548387096774
0.35527950310559,-3.16129032258065
0.357763975155279,-3.24193548387097
0.363975155279503,-3.19354838709678
0.373913043478261,-4.03225806451613
0.381366459627329,-3.09677419354839
0.388819875776398,-3.69354838709677
0.391304347826087,-3.7258064516129
0.395031055900621,-4.08064516129032
0.406211180124224,-3.43548387096774
0.411180124223603,-4.01612903225807
0.419875776397516,-3.64516129032258
0.432298136645963,-4.41935483870968
0.438509316770186,-3.95161290322581
0.44223602484472,-4.32258064516129
0.447204968944099,-3.45161290322581
0.450931677018634,-3.64516129032258
0.453416149068323,-3.61290322580645
0.457142857142857,-3.85483870967742
0.460869565217391,-3.29032258064516
0.46832298136646,-4.04838709677419
0.470807453416149,-3.95161290322581
0.475776397515528,-3.83870967741936
0.479503105590062,-3.88709677419355
0.484472049689441,-3.43548387096774
0.48944099378882,-3.83870967741936
0.493167701863354,-3.82258064516129
0.495652173913044,-4
0.501863354037267,-3.2258064516129
0.505590062111801,-3.93548387096774
0.508074534161491,-4.51612903225807
0.51304347826087,-3.17741935483871
0.520496894409938,-4.41935483870968
0.527950310559006,-3.56451612903226
0.537888198757764,-2.93548387096774
0.544099378881988,-4.62903225806452
0.550310559006211,-2.54838709677419
0.556521739130435,-3.25806451612903
0.561490683229814,-3.40322580645161
0.567701863354037,-2.5
0.573913043478261,-4.03225806451613
0.57888198757764,-3.01612903225806
0.583850931677019,-3.2258064516129
0.587577639751553,-2.7741935483871
0.590062111801242,-3.06451612903226
0.596273291925466,-2.61290322580645
0.601242236024845,-2.7741935483871
0.604968944099379,-2.59677419354839
0.613664596273292,-2.82258064516129
0.617391304347826,-3.25806451612903
0.622360248447205,-2.62903225806452
0.628571428571429,-3.32258064516129
0.634782608695652,-3.95161290322581
0.640993788819876,-2.70967741935484
0.647204968944099,-2.51612903225807
0.652173913043478,-3.51612903225807
0.654658385093168,-3.35483870967742
0.660869565217391,-2.51612903225807
0.663354037267081,-2.7741935483871
0.669565217391304,-2.5
0.674534161490683,-3.32258064516129
0.678260869565217,-2.95161290322581
0.681987577639752,-3.32258064516129
0.686956521739131,-1.96774193548387
0.690683229813665,-1.90322580645161
0.693167701863354,-2.08064516129032
0.703105590062112,-1.54838709677419
0.71055900621118,-1.90322580645161
0.716770186335404,-1.93548387096774
0.725465838509317,-2.7258064516129
0.73167701863354,-2.54838709677419
0.736645962732919,-2.82258064516129
0.741614906832298,-2.66129032258065
0.745341614906832,-3.06451612903226
0.750310559006211,-2.7258064516129
0.75527950310559,-3.69354838709677
0.759006211180124,-3.12903225806452
0.766459627329193,-2.85483870967742
0.775155279503106,-2.38709677419355
0.786335403726708,-3.41935483870968
0.795031055900621,-2.06451612903226
0.801242236024845,-2.14516129032258
0.806211180124224,-2.20967741935484
0.813664596273292,-1.85483870967742
0.818633540372671,-2.2258064516129
0.826086956521739,-2.2741935483871
0.831055900621118,-2.2741935483871
0.837267080745342,-2.90322580645161
0.843478260869565,-2.98387096774194
0.848447204968944,-3.32258064516129
0.855900621118012,-2.93548387096774
0.863354037267081,-3.41935483870968
0.86832298136646,-5.37096774193548
0.874534161490683,-3.41935483870968
0.875776397515528,-3.30645161290323
0.879503105590062,-3.37096774193548
0.885714285714286,-2.93548387096774
0.890683229813665,-3.48387096774194
0.891925465838509,-3.53225806451613
0.901863354037267,-2.5
0.91055900621118,-2.32258064516129
0.916770186335404,-2.61290322580645
0.926708074534162,-1.93548387096774
0.929192546583851,-1.85483870967742
0.935403726708075,-2.54838709677419
0.937888198757764,-2.7741935483871
0.944099378881988,-2.45161290322581
0.949068322981367,-2.69354838709677
0.952795031055901,-2.38709677419355
0.95527950310559,-2.7258064516129
0.957763975155279,-3.01612903225806
0.963975155279503,-2.67741935483871
0.966459627329192,-3.85483870967742
0.970186335403727,-4.09677419354839
0.977639751552795,-2.87096774193548
0.982608695652174,-2.12903225806452
0.986335403726708,-2.40322580645161
0.991304347826087,-2.43548387096774
